Community Name,Category,Crime Count,Date
FOREST LAWN INDUSTRIAL,Theft OF Vehicle,2,1/1/2017 0:00
FRANKLIN,Assault (Non-domestic),7,1/1/2017 0:00
FRANKLIN,Break & Enter - Commercial,1,1/1/2017 0:00
FRANKLIN,Break & Enter - Other Premises,1,1/1/2017 0:00
FRANKLIN,Commercial Robbery,1,1/1/2017 0:00
FRANKLIN,Street Robbery,2,1/1/2017 0:00
FRANKLIN,Theft FROM Vehicle,3,1/1/2017 0:00
FRANKLIN,Theft OF Vehicle,6,1/1/2017 0:00
FRANKLIN,Violence Other (Non-domestic),2,1/1/2017 0:00
GLAMORGAN,Break & Enter - Commercial,3,1/1/2017 0:00
GLAMORGAN,Theft FROM Vehicle,10,1/1/2017 0:00
GLAMORGAN,Theft OF Vehicle,3,1/1/2017 0:00
GLENBROOK,Break & Enter - Commercial,3,1/1/2017 0:00
GLENBROOK,Break & Enter - Dwelling,1,1/1/2017 0:00
GLENBROOK,Theft FROM Vehicle,1,1/1/2017 0:00
GLENBROOK,Theft OF Vehicle,1,1/1/2017 0:00
GLENDALE,Commercial Robbery,1,1/1/2017 0:00
GLENDEER BUSINESS PARK,Theft FROM Vehicle,1,1/1/2017 0:00
GLENMORE PARK,Theft FROM Vehicle,1,1/1/2017 0:00
GLENMORE PARK,Theft OF Vehicle,1,1/1/2017 0:00
GOLDEN TRIANGLE,Break & Enter - Commercial,2,1/1/2017 0:00
GREAT PLAINS,Break & Enter - Commercial,1,1/1/2017 0:00
GREAT PLAINS,Theft FROM Vehicle,1,1/1/2017 0:00
GREAT PLAINS,Theft OF Vehicle,3,1/1/2017 0:00
GREENVIEW,Theft FROM Vehicle,3,1/1/2017 0:00
GREENVIEW,Theft OF Vehicle,1,1/1/2017 0:00
GREENVIEW,Violence Other (Non-domestic),1,1/1/2017 0:00
GREENVIEW INDUSTRIAL PARK,Assault (Non-domestic),2,1/1/2017 0:00
GREENVIEW INDUSTRIAL PARK,Break & Enter - Commercial,2,1/1/2017 0:00
GREENVIEW INDUSTRIAL PARK,Theft FROM Vehicle,2,1/1/2017 0:00
GREENVIEW INDUSTRIAL PARK,Theft OF Vehicle,1,1/1/2017 0:00
HAMPTONS,Break & Enter - Commercial,1,1/1/2017 0:00
HAMPTONS,Theft OF Vehicle,1,1/1/2017 0:00
HARVEST HILLS,Break & Enter - Dwelling,1,1/1/2017 0:00
HARVEST HILLS,Theft FROM Vehicle,2,1/1/2017 0:00
HARVEST HILLS,Violence Other (Non-domestic),2,1/1/2017 0:00
HAWKWOOD,Theft FROM Vehicle,2,1/1/2017 0:00
HAYSBORO,Assault (Non-domestic),1,1/1/2017 0:00
HAYSBORO,Break & Enter - Commercial,2,1/1/2017 0:00
HAYSBORO,Break & Enter - Dwelling,2,1/1/2017 0:00
HAYSBORO,Break & Enter - Other Premises,1,1/1/2017 0:00
HAYSBORO,Theft FROM Vehicle,5,1/1/2017 0:00
HAYSBORO,Theft OF Vehicle,4,1/1/2017 0:00
HAYSBORO,Violence Other (Non-domestic),1,1/1/2017 0:00
HIDDEN VALLEY,Break & Enter - Commercial,1,1/1/2017 0:00
HIDDEN VALLEY,Break & Enter - Dwelling,2,1/1/2017 0:00
HIDDEN VALLEY,Theft FROM Vehicle,2,1/1/2017 0:00
HIDDEN VALLEY,Theft OF Vehicle,5,1/1/2017 0:00
HIDDEN VALLEY,Violence Other (Non-domestic),2,1/1/2017 0:00
HIGHFIELD,Break & Enter - Commercial,6,1/1/2017 0:00
HIGHFIELD,Theft FROM Vehicle,3,1/1/2017 0:00
HIGHLAND PARK,Assault (Non-domestic),1,1/1/2017 0:00
HIGHLAND PARK,Break & Enter - Commercial,1,1/1/2017 0:00
HIGHLAND PARK,Break & Enter - Dwelling,2,1/1/2017 0:00
HIGHLAND PARK,Theft FROM Vehicle,4,1/1/2017 0:00
HIGHLAND PARK,Theft OF Vehicle,2,1/1/2017 0:00
HIGHLAND PARK,Violence Other (Non-domestic),1,1/1/2017 0:00
HIGHWOOD,Break & Enter - Commercial,1,1/1/2017 0:00
HIGHWOOD,Break & Enter - Other Premises,1,1/1/2017 0:00
HIGHWOOD,Theft FROM Vehicle,3,1/1/2017 0:00
HIGHWOOD,Theft OF Vehicle,2,1/1/2017 0:00
HILLHURST,Assault (Non-domestic),5,1/1/2017 0:00
HILLHURST,Break & Enter - Commercial,1,1/1/2017 0:00
HILLHURST,Break & Enter - Dwelling,2,1/1/2017 0:00
HILLHURST,Theft FROM Vehicle,6,1/1/2017 0:00
